id:ID	:LABEL	comp	condition
decl;ENABLE_ECONNABORTED;;	cVariable	bdb/feature.h/	
decl;ENABLE_ECONNREFUSED;;	cVariable	bdb/feature.h/	
decl;ENABLE_ECONNRESET;;	cVariable	bdb/feature.h/	
decl;ENABLE_EDESTADDRREQ;;	cVariable	bdb/feature.h/	
decl;ENABLE_EDOOFUS;;	cVariable	bdb/feature.h/	
decl;ENABLE_EHOSTDOWN;;	cVariable	bdb/feature.h/	
decl;ENABLE_EHOSTUNREACH;;	cVariable	bdb/feature.h/	
decl;ENABLE_EINPROGRESS;;	cVariable	bdb/feature.h/	
decl;ENABLE_EISCONN;;	cVariable	bdb/feature.h/	
decl;ENABLE_ELOOP;;	cVariable	bdb/feature.h/	
decl;ENABLE_EMSGSIZE;;	cVariable	bdb/feature.h/	
decl;ENABLE_EMULTIHOP;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENEEDAUTH;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENETDOWN;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENETRESET;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENETUNREACH;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOATTR;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOBUFS;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOLINK;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENONET;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOPROTOOPT;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOTCONN;;	cVariable	bdb/feature.h/	
decl;ENABLE_ENOTSOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_EOVERFLOW;;	cVariable	bdb/feature.h/	
decl;ENABLE_EPFNOSUPPORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_EPOLL;;	cVariable	bdb/feature.h/	
decl;ENABLE_EPROTO;;	cVariable	bdb/feature.h/	
decl;ENABLE_EPROTONOSUPPORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_EPROTOTYPE;;	cVariable	bdb/feature.h/	
decl;ENABLE_ESHUTDOWN;;	cVariable	bdb/feature.h/	
decl;ENABLE_ESOCKTNOSUPPORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_ETIME;;	cVariable	bdb/feature.h/	
decl;ENABLE_ETIMEDOUT;;	cVariable	bdb/feature.h/	
decl;ENABLE_ETOOMANYREFS;;	cVariable	bdb/feature.h/	
decl;ENABLE_EWOULDBLOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_FULL_UNROLL;;	cVariable	bdb/feature.h/	
decl;ENABLE_F_FULLFSYNC;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_64BIT_TYPES;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ABORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOI;;	cVariable	bdb/feature.h/	
