id:ID	:LABEL	comp	condition
decl;CFG_CUT;;	cVariable	toybox/generated/	
decl;CFG_DATE;;	cVariable	toybox/generated/	
decl;CFG_DD;;	cVariable	toybox/generated/	
decl;CFG_DEALLOCVT;;	cVariable	toybox/generated/	
decl;CFG_DEBUG_DHCP;;	cVariable	toybox/generated/	
decl;CFG_DECOMPRESS;;	cVariable	toybox/generated/	
decl;CFG_DF;;	cVariable	toybox/generated/	
decl;CFG_DHCP6;;	cVariable	toybox/generated/	
decl;CFG_DHCP;;	cVariable	toybox/generated/	
decl;CFG_DHCPD;;	cVariable	toybox/generated/	
decl;CFG_DIFF;;	cVariable	toybox/generated/	
decl;CFG_DIRNAME;;	cVariable	toybox/generated/	
decl;CFG_DMESG;;	cVariable	toybox/generated/	
decl;CFG_DOS2UNIX;;	cVariable	toybox/generated/	
decl;CFG_DU;;	cVariable	toybox/generated/	
decl;CFG_DUMPLEASES;;	cVariable	toybox/generated/	
decl;CFG_ECHO;;	cVariable	toybox/generated/	
decl;CFG_EGREP;;	cVariable	toybox/generated/	
decl;CFG_EJECT;;	cVariable	toybox/generated/	
decl;CFG_ENV;;	cVariable	toybox/generated/	
decl;CFG_EXIT;;	cVariable	toybox/generated/	
decl;CFG_EXPAND;;	cVariable	toybox/generated/	
decl;CFG_EXPR;;	cVariable	toybox/generated/	
decl;CFG_FACTOR;;	cVariable	toybox/generated/	
decl;CFG_FALLOCATE;;	cVariable	toybox/generated/	
decl;CFG_FALSE;;	cVariable	toybox/generated/	
decl;CFG_FDISK;;	cVariable	toybox/generated/	
decl;CFG_FGREP;;	cVariable	toybox/generated/	
decl;CFG_FILE;;	cVariable	toybox/generated/	
decl;CFG_FIND;;	cVariable	toybox/generated/	
decl;CFG_FLOCK;;	cVariable	toybox/generated/	
decl;CFG_FOLD;;	cVariable	toybox/generated/	
decl;CFG_FREE;;	cVariable	toybox/generated/	
decl;CFG_FREERAMDISK;;	cVariable	toybox/generated/	
decl;CFG_FSCK;;	cVariable	toybox/generated/	
decl;CFG_FSFREEZE;;	cVariable	toybox/generated/	
decl;CFG_FSTYPE;;	cVariable	toybox/generated/	
decl;CFG_FSYNC;;	cVariable	toybox/generated/	
decl;CFG_FTPGET;;	cVariable	toybox/generated/	
decl;CFG_FTPPUT;;	cVariable	toybox/generated/	
decl;CFG_GETENFORCE;;	cVariable	toybox/generated/	
decl;CFG_GETFATTR;;	cVariable	toybox/generated/	
decl;CFG_GETPROP;;	cVariable	toybox/generated/	
decl;CFG_GETTY;;	cVariable	toybox/generated/	
decl;CFG_GREP;;	cVariable	toybox/generated/	
decl;CFG_GROUPADD;;	cVariable	toybox/generated/	
decl;CFG_GROUPDEL;;	cVariable	toybox/generated/	
decl;CFG_GROUPS;;	cVariable	toybox/generated/	
decl;CFG_GUNZIP;;	cVariable	toybox/generated/	
decl;CFG_GZIP;;	cVariable	toybox/generated/	
decl;CFG_HEAD;;	cVariable	toybox/generated/	
decl;CFG_HELLO;;	cVariable	toybox/generated/	
decl;CFG_HELP;;	cVariable	toybox/generated/	
decl;CFG_HELP_EXTRAS;;	cVariable	toybox/generated/	
decl;CFG_HEXEDIT;;	cVariable	toybox/generated/	
decl;CFG_HOST;;	cVariable	toybox/generated/	
decl;CFG_HOSTID;;	cVariable	toybox/generated/	
decl;CFG_HOSTNAME;;	cVariable	toybox/generated/	
decl;CFG_HWCLOCK;;	cVariable	toybox/generated/	
decl;CFG_ICONV;;	cVariable	toybox/generated/	
decl;CFG_ID;;	cVariable	toybox/generated/	
decl;CFG_ID_Z;;	cVariable	toybox/generated/	
decl;CFG_IFCONFIG;;	cVariable	toybox/generated/	
decl;CFG_INIT;;	cVariable	toybox/generated/	
decl;CFG_INOTIFYD;;	cVariable	toybox/generated/	
decl;CFG_INSMOD;;	cVariable	toybox/generated/	
decl;CFG_INSTALL;;	cVariable	toybox/generated/	
decl;CFG_IONICE;;	cVariable	toybox/generated/	
decl;CFG_IORENICE;;	cVariable	toybox/generated/	
decl;CFG_IOTOP;;	cVariable	toybox/generated/	
decl;CFG_IP;;	cVariable	toybox/generated/	
